Name,Display Name,Type,Description,Preferred Location,Retiring,Retiring Date
CM3245,Cat Charm,Inventory Item,Cat Charm,Main Warehouse,No,
CM3246,Paint Palette Charm,Inventory Item,Paint Palette Charm,Main Warehouse,No,
CM3247,Graduation Cap Charm,Inventory Item,Graduation Cap Charm,Main Warehouse,Yes,31/12/2016
CM3248,Soccer Ball Charm,Inventory Item,Soccer Ball Charm,Main Warehouse,No,
CM3249,Basketball Charm,Inventory Item,Basketball Charm,Main Warehouse,Yes,31/12/2016
CM3250,Volleyball Charm,Inventory Item,Volleyball Charm,Main Warehouse,Yes,31/12/2016
CM3251,Gold Letter A Charm,Inventory Item,Gold Letter A Charm,Main Warehouse,No,
CM3252,Gold Letter B Charm,Inventory Item,Gold Letter B Charm,Main Warehouse,No,
CM3253,Gold Letter C Charm,Inventory Item,Gold Letter C Charm,Main Warehouse,No,
CM3254,Gold Letter D Charm,Inventory Item,Gold Letter D Charm,Main Warehouse,No,
CM3255,Gold Letter E Charm,Inventory Item,Gold Letter E Charm,Main Warehouse,No,
CM3256,Gold Letter F Charm,Inventory Item,Gold Letter F Charm,Main Warehouse,No,
CM3257,Gold Letter G Charm,Inventory Item,Gold Letter G Charm,Main Warehouse,No,
CM3258,Gold Letter H Charm,Inventory Item,Gold Letter H Charm,Main Warehouse,No,
CM3259,Gold Letter I Charm,Inventory Item,Gold Letter I Charm,Main Warehouse,No,
CM3260,Gold Letter J Charm,Inventory Item,Gold Letter J Charm,Main Warehouse,No,
CM3261,Gold Letter K Charm,Inventory Item,Gold Letter K Charm,Main Warehouse,No,
CM3262,Gold Letter L Charm,Inventory Item,Gold Letter L Charm,Main Warehouse,No,
CM3263,Gold Letter M Charm,Inventory Item,Gold Letter M Charm,Main Warehouse,No,
CM3264,Gold Letter N Charm,Inventory Item,Gold Letter N Charm,Main Warehouse,No,
CM3265,Gold Letter O Charm,Inventory Item,Gold Letter O Charm,Main Warehouse,No,
CM3266,Gold Letter P Charm,Inventory Item,Gold Letter P Charm,Main Warehouse,No,
CM3267,Gold Letter Q Charm,Inventory Item,Gold Letter Q Charm,Main Warehouse,No,
CM3268,Gold Letter R Charm,Inventory Item,Gold Letter R Charm,Main Warehouse,No,
CM3269,Gold Letter S Charm,Inventory Item,Gold Letter S Charm,Main Warehouse,No,
CM3270,Gold Letter T Charm,Inventory Item,Gold Letter T Charm,Main Warehouse,No,
CM3271,Gold Letter U Charm,Inventory Item,Gold Letter U Charm,Main Warehouse,No,
CM3272,Gold Letter V Charm,Inventory Item,Gold Letter V Charm,Main Warehouse,No,
CM3273,Gold Letter W Charm,Inventory Item,Gold Letter W Charm,Main Warehouse,No,
CM3274,Gold Letter X Charm,Inventory Item,Gold Letter X Charm,Main Warehouse,No,
CM3275,Gold Letter Y Charm,Inventory Item,Gold Letter Y Charm,Main Warehouse,No,
CM3276,Gold Letter Z Charm,Inventory Item,Gold Letter Z Charm,Main Warehouse,No,
CM3277,Gold Number 0 Charm,Inventory Item,Gold Number 0 Charm,Main Warehouse,Yes,1/5/2015
CM3278,Gold Number 1 Charm,Inventory Item,Gold Number 1 Charm,Main Warehouse,Yes,1/5/2015
CM3279,Gold Number 2 Charm,Inventory Item,Gold Number 2 Charm,Main Warehouse,Yes,1/5/2015
CM3280,Gold Number 3 Charm,Inventory Item,Gold Number 3 Charm,Main Warehouse,Yes,1/5/2015
CM3281,Gold Number 4 Charm,Inventory Item,Gold Number 4 Charm,Main Warehouse,Yes,1/5/2015
